iter	Passed	Remaining
0	132	132512
1	133	66700
2	134	44861
3	136	33939
4	137	27406
5	139	23061
6	141	20028
7	143	17744
8	144	15958
9	146	14519
10	148	13328
11	149	12331
12	151	11496
13	152	10728
14	153	10050
15	154	9499
16	155	9011
17	157	8584
18	158	8204
19	160	7869
20	162	7557
21	163	7278
22	164	6974
23	165	6732
24	166	6508
25	168	6305
26	169	6113
27	170	5920
28	171	5758
29	173	5598
30	174	5454
31	175	5311
32	176	5180
33	177	5052
34	179	4940
35	180	4829
36	181	4722
37	182	4620
38	183	4523
39	184	4427
40	185	4338
41	186	4259
42	187	4169
43	188	4093
44	189	4017
45	189	3939
46	191	3874
47	191	3806
48	192	3743
49	193	3680
50	194	3618
51	194	3552
52	195	3493
53	196	3439
54	197	3390
55	198	3345
56	199	3298
57	200	3254
58	201	3206
59	201	3158
60	202	3112
61	202	3069
62	203	3025
63	203	2983
64	204	2943
65	205	2904
66	205	2865
67	206	2829
68	207	2793
69	207	2758
70	208	2725
71	208	2692
72	209	2659
73	210	2627
74	210	2597
75	211	2567
76	211	2538
77	212	2509
78	212	2482
79	213	2456
80	214	2430
81	214	2405
82	215	2381
83	216	2356
84	216	2332
85	217	2309
86	217	2287
87	218	2264
88	219	2242
89	219	2221
90	220	2200
91	220	2179
92	221	2159
93	221	2139
94	222	2120
95	223	2101
96	223	2079
97	223	2061
98	224	2043
99	225	2025
100	225	2006
101	226	1989
102	226	1973
103	227	1956
104	227	1941
105	228	1927
106	229	1912
107	229	1897
108	230	1882
109	230	1867
110	231	1853
111	232	1839
112	232	1823
113	232	1809
114	233	1796
115	234	1783
116	234	1770
117	235	1758
118	235	1746
119	236	1733
120	236	1720
121	237	1706
122	237	1695
123	238	1684
124	239	1673
125	239	1662
126	240	1651
127	240	1639
128	241	1629
129	241	1619
130	242	1609
131	243	1600
132	244	1590
133	244	1581
134	245	1572
135	245	1562
136	246	1552
137	247	1543
138	247	1532
139	247	1523
140	248	1513
141	249	1505
142	249	1496
143	250	1487
144	250	1479
145	251	1472
146	252	1463
